date,division,category,product_code,product,market,platform,channel,customer_code,customer_name,forecast_quantity
"2017-09-01 00:00:00","N & S","External Solid State Drives",A6218160101,"AQ Digit SSD",Australia,"Brick & Mortar",Direct,70008169,"AltiQ Exclusive",146
"2017-09-01 00:00:00","N & S","External Solid State Drives",A6218160101,"AQ Digit SSD",Australia,"Brick & Mortar",Retailer,90008165,"Forward Stores",120
"2017-09-01 00:00:00","N & S","External Solid State Drives",A6218160101,"AQ Digit SSD",Australia,"Brick & Mortar",Retailer,90008166,Sound,216
"2017-09-01 00:00:00","N & S","External Solid State Drives",A6218160101,"AQ Digit SSD",Australia,"Brick & Mortar",Retailer,90008167,Electricalsocity,141
"2017-09-01 00:00:00","N & S","External Solid State Drives",A6218160101,"AQ Digit SSD",Australia,E-Commerce,Direct,70008170,"Atliq e Store",85
"2017-09-01 00:00:00","N & S","External Solid State Drives",A6218160101,"AQ Digit SSD",Bangladesh,"Brick & Mortar",Direct,70010047,"AltiQ Exclusive",0
"2017-09-01 00:00:00","N & S","External Solid State Drives",A6218160101,"AQ Digit SSD",Brazil,E-Commerce,Retailer,90027207,Amazon,14
"2017-09-01 00:00:00","N & S","External Solid State Drives",A6218160101,"AQ Digit SSD",Canada,"Brick & Mortar",Direct,70023031,"AltiQ Exclusive",30
"2017-09-01 00:00:00","N & S","External Solid State Drives",A6218160101,"AQ Digit SSD",Canada,"Brick & Mortar",Retailer,90023022,"Nomad Stores",8
"2017-09-01 00:00:00","N & S","External Solid State Drives",A6218160101,"AQ Digit SSD",Canada,"Brick & Mortar",Retailer,90023025,"Premium Stores",25
"2017-09-01 00:00:00","N & S","External Solid State Drives",A6218160101,"AQ Digit SSD",Canada,"Brick & Mortar",Retailer,90023026,Relief,17
"2017-09-01 00:00:00","N & S","External Solid State Drives",A6218160101,"AQ Digit SSD",Canada,"Brick & Mortar",Retailer,90023027,Costco,39
"2017-09-01 00:00:00","N & S","External Solid State Drives",A6218160101,"AQ Digit SSD",Canada,"Brick & Mortar",Retailer,90023029,Staples,25
